phi1_deg,lam0_deg,fov_deg,mae
30.0,140.0,50.0,92.10829456037429
30.0,140.0,70.0,92.10829456037429
30.0,140.0,90.0,92.10829456037429
30.0,180.0,10.0,87.26563280731878
30.0,180.0,30.0,87.26563280731878
30.0,180.0,50.0,87.26563280731878
30.0,180.0,70.0,87.26563280731878
30.0,180.0,90.0,87.26563280731878
50.0,-180.0,10.0,71.11657121955123
50.0,-180.0,30.0,71.11657121955123
50.0,-180.0,50.0,71.11657121955123
50.0,-180.0,70.0,71.11657121955123
50.0,-180.0,90.0,71.11657121955123
50.0,-140.0,10.0,69.01241699867198
50.0,-140.0,30.0,69.01241699867198
50.0,-140.0,50.0,69.01241699867198
50.0,-140.0,70.0,69.01241699867198
50.0,-140.0,90.0,69.01241699867198
50.0,-100.0,10.0,68.84059294669375
50.0,-100.0,30.0,68.84059294669375
50.0,-100.0,50.0,68.84059294669375
50.0,-100.0,70.0,68.84059294669375
50.0,-100.0,90.0,68.84059294669375
50.0,-60.0,10.0,71.0383427766286
50.0,-60.0,30.0,71.0383427766286
50.0,-60.0,50.0,71.0383427766286
50.0,-60.0,70.0,71.0383427766286
50.0,-60.0,90.0,71.0383427766286
50.0,-20.0,10.0,76.743862903582
50.0,-20.0,30.0,76.743862903582
50.0,-20.0,50.0,76.743862903582
50.0,-20.0,70.0,76.743862903582
50.0,-20.0,90.0,76.743862903582
50.0,20.0,10.0,79.96891083395164
50.0,20.0,30.0,79.96891083395164
50.0,20.0,50.0,79.96891083395164
50.0,20.0,70.0,79.96891083395164
50.0,20.0,90.0,79.96891083395164
50.0,60.0,10.0,82.94073008451717
50.0,60.0,30.0,82.94073008451717
50.0,60.0,50.0,82.94073008451717
50.0,60.0,70.0,82.94073008451717
50.0,60.0,90.0,82.94073008451717
50.0,100.0,10.0,82.52841732670704
50.0,100.0,30.0,82.52841732670704
50.0,100.0,50.0,82.52841732670704
50.0,100.0,70.0,82.52841732670704
50.0,100.0,90.0,82.52841732670704
50.0,140.0,10.0,83.04499355175544
50.0,140.0,30.0,83.04499355175544
50.0,140.0,50.0,83.04499355175544
50.0,140.0,70.0,83.04499355175544
50.0,140.0,90.0,83.04499355175544
50.0,180.0,10.0,79.82957290669584
50.0,180.0,30.0,79.82957290669584
50.0,180.0,50.0,79.82957290669584
50.0,180.0,70.0,79.82957290669584
50.0,180.0,90.0,79.82957290669584
70.0,-180.0,10.0,71.21689591059973
70.0,-180.0,30.0,71.21689591059973
70.0,-180.0,50.0,71.21689591059973
70.0,-180.0,70.0,71.21689591059973
70.0,-180.0,90.0,71.21689591059973
70.0,-140.0,10.0,68.5217789851442
70.0,-140.0,30.0,68.5217789851442
70.0,-140.0,50.0,68.5217789851442
70.0,-140.0,70.0,68.5217789851442
70.0,-140.0,90.0,68.5217789851442
70.0,-100.0,10.0,69.6870840584049
70.0,-100.0,30.0,69.6870840584049
70.0,-100.0,50.0,69.6870840584049
70.0,-100.0,70.0,69.6870840584049
70.0,-100.0,90.0,69.6870840584049
70.0,-60.0,10.0,72.0432817395733
70.0,-60.0,30.0,72.0432817395733
70.0,-60.0,50.0,72.0432817395733
70.0,-60.0,70.0,72.0432817395733
70.0,-60.0,90.0,72.0432817395733
70.0,-20.0,10.0,76.74242586912065
70.0,-20.0,30.0,76.74242586912065
70.0,-20.0,50.0,76.74242586912065
70.0,-20.0,70.0,76.74242586912065
70.0,-20.0,90.0,76.74242586912065
70.0,20.0,10.0,77.83676467582373
70.0,20.0,30.0,77.83676467582373
70.0,20.0,50.0,77.83676467582373
70.0,20.0,70.0,77.83676467582373
70.0,20.0,90.0,77.83676467582373
70.0,60.0,10.0,80.14351805762955
70.0,60.0,30.0,80.14351805762955
70.0,60.0,50.0,80.14351805762955
70.0,60.0,70.0,80.14351805762955
70.0,60.0,90.0,80.14351805762955
70.0,100.0,10.0,79.51026395701939
70.0,100.0,30.0,79.51026395701939
70.0,100.0,50.0,79.51026395701939
70.0,100.0,70.0,79.51026395701939
70.0,100.0,90.0,79.51026395701939
70.0,140.0,10.0,78.01188373272896
